categoryId,subcategoryId,subcategoryName
1,1,Animal Products - Other
1,2,Livestock
1,3,Poultry
2,4,Beans
3,5,Maize
4,6,Barley
4,7,Millet
4,8,Sorghum
4,9,Wheat
5,10,Rice
6,11,Avocado
6,12,Bananas
6,13,Fruits
6,14,Lemons
6,15,Limes
6,16,Mangoes
6,17,Oranges
6,18,Pawpaw
6,19,Pineapples
7,20,Coffee
7,21,Cotton
7,22,Tea
7,23,Tobacco
7,24,Vanilla
8,25,Peas
9,26,Cassava
9,27,Potatoes
10,28,Nuts
10,29,Simsim
10,30,Sunflowers
11,1,Brinjals
11,32,Cabbages
11,33,Capsicums
11,34,Carrots
11,35,Cauliflower
11,36,Chillies
11,37,Cucumber
11,38,Ginger
11,39,Kales
11,40,Lettuce
11,41,Onions
11,42,Tomatoes
