commoditycountry,commoditymarket
BDI,Bujumbura
BDI,Gitega
BDI,Ngozi
DRC,Bukavu
DRC,Goma
DRC,Kasumbalesa
DRC,Kolwezi
DRC,Likasi
DRC,Lubumbashi
DRC,Uvira
KEN,Bungoma
KEN,Busia
KEN,Eldoret
KEN,Embu
KEN,Garisa
KEN,Garissa
KEN,Isiolo
KEN,Kajiado
KEN,kakamega
KEN,Kisii
KEN,Kisumu
KEN,Kitale
KEN,Kitui
KEN,Loitoktok
KEN,Machakos
KEN,Makueni
KEN,Malindi
KEN,Meru
KEN,Mombasa
KEN,Nairobi
KEN,Nakuru
KEN,Oloitoktok
KEN,Wajir
MWI,Blantyre
MWI,Lilongwe
MWI,Balaka
MWI,Chimbiya
MWI,Kamwendo Market
MWI,Kasungu
MWI,Lilongwe
MWI,Limbe Market
MWI,Liwonde
MWI,Madisi
MWI,Makawa Market
MWI,Mchinji
MWI,Mitundu
MWI,Mkando
MWI,Mponela
MWI,Mulanje ADMARC Market
MWI,Mvera
MWI,Mwanza
MWI,Mzimba
MWI,Mzuzu
MWI,Namwera
MWI,Nkhamenya
MWI,Nkhotakota
MWI,Ntcheu
MWI,Ntchisi
MWI,Phalombe
MWI,Salima
MWI,Salima ADMARC Market
MWI,Thondwe
RWA,Kamembe
RWA,Kimironko
RWA,Mulindi
RWA,Rubavu
RWA,Ruhengeri
RWA,Ruhuha
SSD,Juba
SSD,Yei
TZA,Arusha
TZA,Babati
TZA,Bukoba
TZA,Dar es salaam
TZA,Dodoma
TZA,Geita
TZA,Ilala (Buguruni)
TZA,Iringa
TZA,Kibaigwa
TZA,Kinondoni (Tandale )
TZA,lindi
TZA,Majengo
TZA,Mbeya
TZA,Morogoro urban
TZA,Moshi
TZA,Mtwara DC
TZA,Musoma
TZA,Mwanga
TZA,Mwanyelwa
TZA,Mwanza
TZA,Njombe
TZA,Shinyanga
TZA,Singida
TZA,Songea
TZA,Sumbawanga
TZA,Tabora
TZA,Tanga/Mgandini
TZA,Temeke
TZA,Tunduma
UGA,Arua
UGA,Bugiri Market
UGA,Busia
UGA,Gulu
UGA,Iganga
UGA,Isingiro
UGA,Kabale
UGA,Kalerwe
UGA,Kampala
UGA,Kapchorwa
UGA,Kasese
UGA,Kiboga
UGA,Kisenyi
UGA,Lira
UGA,Luwero Market
UGA,Masaka
UGA,Masindi
UGA,Mbale
UGA,Mbarara
UGA,Mubende
UGA,Nakasero
UGA,Nakawa
UGA,Owino
UGA,Soroti
UGA,Tororo
